year,trif-id,frs-id,fac-name,address,city,county,st,zip,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. CAS #/COMPOUND ID,37. SRS ID,38. CLEAN AIR ACT CHEMICAL,39. CLASSIFICATION,40. METAL,41. METAL CATEGORY,42. CARCINOGEN,43. FORM TYPE,44. UNIT OF MEASURE,45. 5.1 - FUGITIVE AIR,46. 5.2 - STACK AIR,47. 5.3 - WATER,48. 5.4 - UNDERGROUND,49. 5.4.1 - UNDERGROUND CL I,50. 5.4.2 - UNDERGROUND C II-V,51. 5.5.1 - LANDFILLS,52. 5.5.1A - RCRA C LANDFILL,53. 5.5.1B - OTHER LANDFILLS,54. 5.5.2 - LAND TREATMENT,55. 5.5.3 - SURFACE IMPNDMNT,56. 5.5.3A - RCRA SURFACE IM,57. 5.5.3B - OTHER SURFACE I,58. 5.5.4 - OTHER DISPOSAL,59. ON-SITE RELEASE TOTAL,60. 6.1 - POTW - TRNS RLSE,61. 6.1 - POTW - TRNS TRT,62. POTW - TOTAL TRANSFERS,63. 6.2 - M10,64. 6.2 - M41,65. 6.2 - M62,66. 6.2 - M40 METAL,67. 6.2 - M61 METAL,68. 6.2 - M71,69. 6.2 - M81,70. 6.2 - M82,71. 6.2 - M72,72. 6.2 - M63,73. 6.2 - M66,74. 6.2 - M67,75. 6.2 - M64,76. 6.2 - M65,77. 6.2 - M73,78. 6.2 - M79,79. 6.2 - M90,80. 6.2 - M94,81. 6.2 - M99,82. OFF-SITE RELEASE TOTAL,83. 6.2 - M20,84. 6.2 - M24,85. 6.2 - M26,86. 6.2 - M28,87 6.2 - M93,88. OFF-SITE RECYCLED TOTAL,89. 6.2 - M56,90. 6.2 - M92,91. OFF-SITE ENERGY RECOVERY T,92. 6.2 - M40 NON-METAL,93. 6.2 - M50,94. 6.2 - M54,95. 6.2 - M61 NON-METAL,96. 6.2 - M69,97. 6.2 - M95,98. OFF-SITE TREATED TOTAL,99. 6.2 - UNCLASSIFIED,100. 6.2 - TOTAL TRANSFER,101. TOTAL RELEASES,102. 8.1 - RELEASES,103. 8.1A - ON-SITE CONTAINED,104. 8.1B - ON-SITE OTHER ,105. 8.1C - OFF-SITE CONTAIN,106. 8.1D - OFF-SITE OTHER R,107. 8.2 - ENERGY RECOVER ON,108. 8.3 - ENERGY RECOVER OF,109. 8.4 - RECYCLING ON SITE,110. 8.5 - RECYCLING OFF SIT,111. 8.6 - TREATMENT ON SITE,112. 8.7 - TREATMENT OFF SITE,113. PRODUCTION WSTE (8.1-8.7),114. 8.8 - ONE-TIME RELEASE,115. PROD_RATIO_OR_ ACTIVITY,116. 8.9 - PRODUCTION RATIO
2019,9160WKLNND7323C,110002893192,KLUNE INDUSTRIES INC,7323 COLDWATER CANYON AVENUE,NORTH HOLLYWOOD,LOS ANGELES,CA,91605,,,34.203717,-118.4138,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1319218382202,Chromium,NO,7440473,150060,YES,TRI,YES,1,NO,R,Pounds,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,1338,0,22031,0,0,0,22031,0,0,0,0,0,0,0,0,0,0,0,23369,1342,0,0,4,1338,0,0,0,0,22031,0,0,23373,,PRODUCTION,0.26
2019,92123SLRTR4200R,110000478974,SOLAR TURBINES INC KEARNY MESA,4200 RUFFIN RD MZ T-2,SAN DIEGO,SAN DIEGO,CA,92123,,,32.81903,-117.1261,NAD83,CATERPILLAR INC,5070479,CATERPILLAR INC,NO,333,Machinery,,,,,,,333611,,,,,,1319217888243,Chromium,NO,7440473,150060,YES,TRI,YES,1,NO,R,Pounds,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20804,82,0,0,20886,0,0,0,0,0,0,0,0,0,0,0,20886,1.61,0,0,1.61,0,0,0,0,0,20886,0,0,20887.61,,PRODUCTION,1.05
2019,9160WKLNND7323C,110002893192,KLUNE INDUSTRIES INC,7323 COLDWATER CANYON AVENUE,NORTH HOLLYWOOD,LOS ANGELES,CA,91605,,,34.203717,-118.4138,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1319218382226,Nickel,NO,7440020,149674,YES,TRI,YES,1,YES,R,Pounds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,810,0,13814,0,0,0,13814,0,0,0,0,0,0,0,0,0,0,0,14624,812,0,0,2,810,0,0,0,0,13814,0,0,14626,,PRODUCTION,0.15
2019,9160WKLNND7323C,110002893192,KLUNE INDUSTRIES INC,7323 COLDWATER CANYON AVENUE,NORTH HOLLYWOOD,LOS ANGELES,CA,91605,,,34.203717,-118.4138,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1319218382214,Lead,NO,7439921,149583,YES,PBT,YES,1,YES,R,Pounds,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,1386.3,0,0,0,1386.3,0,0,0,0,0,0,0,0,0,0,0,1386.8,0.8,0,0,0.3,0.5,0,0,0,0,1386.3,0,0,1387.1,,PRODUCTION,11.09
2019,92123SLRTR4200R,110000478974,SOLAR TURBINES INC KEARNY MESA,4200 RUFFIN RD MZ T-2,SAN DIEGO,SAN DIEGO,CA,92123,,,32.81903,-117.1261,NAD83,CATERPILLAR INC,5070479,CATERPILLAR INC,NO,333,Machinery,,,,,,,333611,,,,,,1319217888256,Nickel,NO,7440020,149674,YES,TRI,YES,1,YES,R,Pounds,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11794,60,0,0,11854,0,0,0,0,0,0,0,0,0,0,0,11854,1.61,0,0,1.61,0,0,0,0,0,11854,0,0,11855.61,,PRODUCTION,1.05
2019,9311WTRSPC6325L,110064351712,MICRODYN-NADIR CORP,6325 LINDMAR DR,GOLETA,SANTA BARBARA,CA,93117,,,34.4355,-119.84274,NAD83,NA,,NA,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1319217639917,"1,4-Dioxane",NO,123911,33241,YES,TRI,NO,0,YES,R,Pounds,5,250,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,,PRODUCTION,1.11
2019,95206VLMTN431SP,110000484949,VALIMET INC,431 SPERRY RD,STOCKTON,SAN JOAQUIN,CA,95206,,,37.89873,-121.2672,NAD83,NA,,NA,NO,331,Primary Metals,,,,,,,331314,,,,,,1319217719350,Aluminum (fume or dust),NO,7429905,149476,NO,TRI,NO,4,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,0,0,0,0,0,0,52,,PRODUCTION,1.1
2019,93272CLFRN11894,110000481489,CALIFORNIA DAIRIES INC TIPTON,11894 AVE 120,TIPTON,TULARE,CA,93272,,,36.0094,-119.3054,NAD83,CALIFORNIA DAIRIES INC,9868035,CALIFORNIA DAIRIES INC,NO,311,Food,,,,,,,311514,,,,,,1319217989312,Peracetic acid,NO,79210,7682,NO,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19622,0,19622,,PRODUCTION,1.2
2019,93402RNTCP1173L,110018998183,RANTEC POWER SYSTEMS INC,1173 LOS OLIVOS AVE,LOS OSOS,SAN LUIS OBISPO,CA,93402,,,35.31317,-120.8289,NAD83,RPS HOLDINGS INC,131981024,RPS HOLDINGS INC,NO,334,Computers and Electronic Products,,,,,,,334418,,,,,,1319218505269,Lead,NO,7439921,149583,YES,PBT,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,209,0,0,0,209,0,0,0,0,0,0,0,209,,PRODUCTION,1.2
2019,91340PHRMV1150A,110000476896,PHARMAVITE LLC,1150 AVIATION PL,SAN FERNANDO,LOS ANGELES,CA,91340,,,34.29106,-118.42124,NAD83,OTSUKA AMERICA INC,607111846,OTSUKA AMERICA INC,NO,325,Chemicals,,,,,,,325412,,,,,,1319217969575,Zinc compounds,NO,N982,649699,NO,TRI,YES,1,NO,R,Pounds,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,22.26,0,22.26,0,0,0.128,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,617.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.128,617.638,0,0,0.25,595,22.388,0,0,0,0,0,0,617.638,,PRODUCTION,0.84
